task_id,repository,model,method,candidate_correct_count,pass_at_1,pass_at_3,pass_at_5,selected_output_correct,static_success,initial_output_correct,post_selection_correct,verified_selection_applied,repair_attempted,repair_success,repair_rounds,uncertainty,token_entropy,self_consistency_uncertainty,semantic_variance,evidence_count,prompt_tokens,completion_tokens,total_tokens,provider_requests,latency_seconds,length_limited_candidates
execrepobench-0383-0a4065da5e,eip712,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.4,1.0,0.0,0.0,0,745,95,840,1,5.93398100000195,0
execrepobench-0988-0b5928a25c,textdistance,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.5018181610107422,1.0,0.19999999999999996,0.10909080505371094,0,1978,229,2207,1,22.53861991699523,0
execrepobench-0226-0b9ff5af61,csv-diff,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.8205160689353944,1.0,0.8,0.5025803446769714,0,1033,875,1908,1,6.872475249998388,0
execrepobench-0163-0cd764dc97,compressed_rtf,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7458779764175416,1.0,0.8,0.12938988208770752,0,1356,1858,3214,1,10.07327683299809,0
execrepobench-0558-0d59429324,imageio,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.693406834602356,1.0,0.6,0.2670341730117798,0,2238,425,2663,1,25.29529266699683,0
execrepobench-0595-0dfc029bd0,json_repair,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.48156513452529903,1.0,0.19999999999999996,0.007825672626495361,0,1664,985,2649,1,5.712307000001601,0
execrepobench-1123-0f6c5532f9,workdays,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.704195191860199,1.0,0.6,0.3209759593009949,0,558,295,853,1,2.697609499999089,0
execrepobench-0755-0fbea6cf43,msgpack-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7429668378829957,1.0,0.8,0.11483418941497803,0,2017,311,2328,1,3.861912583000958,0
execrepobench-0027-10c65d2bcd,PTable,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6610980176925659,1.0,0.6,0.10549008846282959,0,1679,791,2470,1,3.241453124996042,0
execrepobench-0035-12131ff80b,PTable,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7122882390022278,1.0,0.6,0.3614411950111389,0,1688,240,1928,1,2.7682989589957288,0
execrepobench-0737-12e5fb4be1,more-itertools,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.4,1.0,0.0,0.0,0,2509,170,2679,1,12.71851258300012,0
execrepobench-0563-1350775fdf,imageio,gpt-4o-mini,Direct Generation,2,0.4,0.9,1.0,True,True,True,True,False,False,False,0,0.7722177338600159,1.0,0.8,0.26108866930007935,0,1805,320,2125,1,30.090564707999874,0
execrepobench-0030-13ac1e5229,PTable,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7167754793167115,1.0,0.6,0.38387739658355713,0,1736,289,2025,1,3.5814012909977464,0
execrepobench-0391-13e55956a5,eip712,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7228062653541565,1.0,0.6,0.41403132677078247,0,1452,378,1830,1,3.307317583996337,0
execrepobench-1137-15ef53d152,xmltodict,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7493513298034669,1.0,0.8,0.14675664901733398,0,1600,484,2084,1,4.218323875000351,0
execrepobench-0052-16c6360987,PyPattyrn,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.4825403261184692,1.0,0.19999999999999996,0.012701630592346191,0,620,168,788,1,2.905775833001826,0
execrepobench-0256-1726de55fa,csvkit,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7905907583236695,1.0,0.8,0.35295379161834717,0,539,881,1420,1,5.787647874996765,0
execrepobench-1060-17cb6eb260,tryme,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7200000071525574,1.0,0.6,0.40000003576278687,0,1871,111,1982,1,2.0353360419976525,0
execrepobench-0604-1bb1773a29,json_repair,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7654744577407838,1.0,0.8,0.22737228870391846,0,1802,1258,3060,1,5.814630124994437,0
execrepobench-0672-1c8ce15619,maya,gpt-4o-mini,Direct Generation,4,0.8,1.0,1.0,False,False,False,False,False,False,False,0,0.7679450345039368,1.0,0.8,0.23972517251968384,0,1860,347,2207,1,12.719106791999366,0
execrepobench-0302-1f96bf0f6f,dpath-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.49001456975936886,1.0,0.19999999999999996,0.05007284879684448,0,652,190,842,1,121.26094637499773,0
execrepobench-0258-207a5d4188,csvkit,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6925924801826477,1.0,0.6,0.2629624009132385,0,947,204,1151,1,4.321424415997171,0
execrepobench-0744-2139f303e6,more-itertools,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.6805641436576844,1.0,0.6,0.20282071828842163,0,2349,441,2790,1,54.29011666600127,0
execrepobench-0555-21d0af873b,imageio,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7967487287521363,1.0,0.8,0.38374364376068115,0,1780,590,2370,1,5.586086500006786,0
execrepobench-0811-22ae9cd1ce,python-fastjsonschema,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7385820341110231,1.0,0.8,0.09291017055511475,0,1356,227,1583,1,4.497712040996703,0
execrepobench-0167-2355408f24,compressed_rtf,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.48457531213760374,1.0,0.19999999999999996,0.0228765606880188,0,2512,321,2833,1,3.5728821250013425,0
execrepobench-1097-245d0199b5,w2n,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.667834165096283,1.0,0.6,0.1391708254814148,0,1544,482,2026,1,5.632297416996153,0
execrepobench-0870-26c407fa23,python-pinyin,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.5238186287879943,1.0,0.19999999999999996,0.21909314393997192,0,800,90,890,1,20.06542862500646,0
execrepobench-1121-2775a12414,workdays,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7137598538398743,1.0,0.6,0.36879926919937134,0,558,315,873,1,5.086196290998487,0
execrepobench-0147-2853c99dc7,cacheout,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.7884498071670533,1.0,0.8,0.3422490358352661,0,1042,557,1599,1,7.565702833999239,0
execrepobench-0262-2adf42dd60,csvkit,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.8170177769660951,1.0,0.8,0.48508888483047485,0,889,481,1370,1,8.9087312499978,0
execrepobench-0760-2c7e23c784,msgpack-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7727549386024476,1.0,0.8,0.26377469301223755,0,1899,498,2397,1,2.7892701250020764,0
execrepobench-0402-2df9d08c30,eml_parser,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7760469150543213,1.0,0.8,0.28023457527160645,0,2273,692,2965,1,5.779499374999432,0
execrepobench-0670-33a9fa36f8,maya,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.4830318021774292,1.0,0.19999999999999996,0.015159010887145996,0,1121,451,1572,1,2.542592499994498,0
execrepobench-1158-3448f8239e,xmltodict,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7616600823402405,1.0,0.8,0.2083004117012024,0,1550,1547,3097,1,6.670716082997387,0
execrepobench-0126-34e018c3ef,boltons,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.596033821105957,1.0,0.4,0.18016910552978516,0,1242,418,1660,1,1.7731258749990957,0
execrepobench-0667-34efd6f5cc,maya,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.40000002384185795,1.0,0.0,1.1920928955078125e-07,0,755,85,840,1,1.5421815000008792,0
execrepobench-0235-3594949787,csvkit,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7937854719161989,1.0,0.8,0.36892735958099365,0,975,690,1665,1,9.182347875001142,0
execrepobench-0957-3706445faf,sqlparse,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7540740573406219,1.0,0.6,0.5703702867031097,0,1543,423,1966,1,248.8469185829963,0
execrepobench-0591-38fa75ee86,json_repair,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7674356770515443,1.0,0.8,0.23717838525772095,0,1802,1199,3001,1,6.041372291001608,0
execrepobench-0179-395ece56a4,compressed_rtf,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.73556875705719,1.0,0.8,0.07784378528594971,0,1356,2181,3537,1,11.446854750000057,0
execrepobench-0770-3b4f7bf99f,msgpack-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.781530375480652,1.0,0.8,0.3076518774032593,0,1916,1395,3311,1,5.883714124996914,0
execrepobench-0376-3c57ae8969,eip712,gpt-4o-mini,Direct Generation,1,0.19999999999999996,0.6,1.0,False,False,False,False,False,False,False,0,0.4876372742652893,1.0,0.19999999999999996,0.03818637132644653,0,1219,259,1478,1,2.8498070839996217,0
execrepobench-1071-3cec226db0,tryme,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6891459369659424,1.0,0.6,0.24572968482971191,0,2088,287,2375,1,2.2112019170017447,0
execrepobench-0120-3dcc59263c,boltons,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7473817420005799,1.0,0.8,0.13690871000289917,0,2118,1158,3276,1,5.676007124995522,0
execrepobench-0054-40203da4c7,PyPattyrn,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.40000002384185795,1.0,0.0,1.1920928955078125e-07,0,571,115,686,1,1.7087663749989588,0
execrepobench-0098-427645b5bb,algorithms,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.7769966077804566,1.0,0.8,0.2849830389022827,0,503,645,1148,1,28.14888695799891,0
execrepobench-0894-4434c22736,python-sortedcontainers,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7761847090721131,1.0,0.8,0.2809235453605652,0,2337,852,3189,1,4.366200832999311,0
execrepobench-0697-4573c963fa,moment,gpt-4o-mini,Direct Generation,2,0.4,0.9,1.0,True,True,True,True,False,False,False,0,0.7538417768478395,1.0,0.8,0.16920888423919678,0,1227,326,1553,1,7.552976042003138,0
execrepobench-0280-47e65dfc43,dict2css,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6834465169906616,1.0,0.6,0.2172325849533081,0,1204,453,1657,1,2.3541773750039283,0
execrepobench-0405-49c6915e07,eml_parser,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.5972148156166077,1.0,0.4,0.18607407808303833,0,1022,312,1334,1,12.417070082999999,0
execrepobench-0787-4b12eebdd1,objprint,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7107534790039063,1.0,0.6,0.35376739501953125,0,1310,231,1541,1,2.4009997500033933,0
execrepobench-0915-4b25d75d6c,shortuuid,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.763333340883255,1.0,0.6,0.616666704416275,0,1218,153,1371,1,4.274248542002169,0
execrepobench-0304-4dea44e86f,dpath-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7840072107315065,1.0,0.8,0.32003605365753174,0,1032,372,1404,1,21.58705991700117,0
execrepobench-1107-4df9c84a7b,w2n,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7500286293029786,1.0,0.8,0.15014314651489258,0,1043,547,1590,1,4.961424416003865,0
execrepobench-0948-4f4b1bff06,sqlparse,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7877361607551575,1.0,0.8,0.33868080377578735,0,332,460,792,1,3.377940165999462,0
execrepobench-1063-51b649a44a,tryme,gpt-4o-mini,Direct Generation,4,0.8,1.0,1.0,True,True,True,True,False,False,False,0,0.4874307799339294,1.0,0.19999999999999996,0.03715389966964722,0,1881,214,2095,1,3.733744666002167,0
execrepobench-0009-56677af8f9,Chronyk,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.4,1.0,0.0,0.0,0,1962,185,2147,1,1.7034549999953015,0
execrepobench-1009-575404140a,textdistance,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7676718187332154,1.0,0.8,0.23835909366607666,0,1837,254,2091,1,2.00810066700069,0
execrepobench-0296-57a0ea3b9f,dpath-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.680784628391266,1.0,0.4,0.6039231419563293,0,1878,119,1997,1,103.24635970800591,0
execrepobench-1034-581a12683d,transitions,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6825089240074158,1.0,0.6,0.21254462003707886,0,949,173,1122,1,2.6683282499943743,0
execrepobench-0097-583e4f1955,algorithms,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.41570094823837284,1.0,0.0,0.07850474119186401,0,997,351,1348,1,26.158383875001164,0
execrepobench-0941-584e6705cd,sqlparse,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.8351620268821718,1.0,0.8,0.5758101344108582,0,1306,195,1501,1,1.6523620409934665,0
execrepobench-0868-5875950a21,python-pinyin,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7832156133651734,1.0,0.8,0.3160780668258667,0,2551,557,3108,1,42.33572599999752,0
execrepobench-0905-5c44884e8b,shortuuid,gpt-4o-mini,Direct Generation,3,0.6,1.0,1.0,True,True,True,True,False,False,False,0,0.7774304699897767,1.0,0.8,0.28715234994888306,0,1099,522,1621,1,4.760040791996289,0
execrepobench-0893-5f7c118a31,python-sortedcontainers,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7702617120742798,1.0,0.8,0.2513085603713989,0,2358,715,3073,1,6.888864333996025,0
execrepobench-0585-60675d8cc6,json_repair,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7821266245841981,1.0,0.8,0.31063312292099,0,1618,937,2555,1,7.675868375001301,0
execrepobench-0401-60c9b92d81,eml_parser,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.5394278931617736,1.0,0.19999999999999996,0.2971394658088684,0,1218,183,1401,1,10.818424125012825,0
execrepobench-0943-631e8fd979,sqlparse,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7878569674491883,1.0,0.8,0.33928483724594116,0,1991,546,2537,1,4.708847292000428,0
execrepobench-0794-67260e9d6a,pysrt,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.5364651250839233,1.0,0.19999999999999996,0.2823256254196167,0,1106,388,1494,1,2.2881359580060234,0
execrepobench-0051-67de7d5ace,PyPattyrn,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.40000002384185795,1.0,0.0,1.1920928955078125e-07,0,511,85,596,1,1.0428578749997541,0
execrepobench-0839-6b59568b37,python-patterns,gpt-4o-mini,Direct Generation,1,0.19999999999999996,0.6,1.0,False,False,False,False,False,False,False,0,0.5453940677642822,1.0,0.19999999999999996,0.32697033882141113,0,1337,165,1502,1,2.1131950830022106,0
execrepobench-0200-6b6d89ec24,css-html-js-minify,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.5654545402526856,1.0,0.4,0.027272701263427734,0,645,183,828,1,1.90442137500213,0
execrepobench-1106-6c5beeba5b,w2n,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7853509020805359,1.0,0.8,0.32675451040267944,0,1694,292,1986,1,3.6296519589959644,0
execrepobench-1069-6d92057d49,tryme,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6139623737335206,1.0,0.4,0.26981186866760254,0,2078,238,2316,1,1.6003186250018189,0
execrepobench-0183-6eb79573d8,compressed_rtf,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7409080338478089,1.0,0.8,0.10454016923904419,0,1356,1777,3133,1,6.154138541998691,0
execrepobench-0494-6f2482c545,gruut,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.661150553226471,1.0,0.6,0.10575276613235474,0,212,327,539,1,23.673195042007137,0
execrepobench-0694-6f4dcdab75,moment,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7741869163513184,1.0,0.8,0.2709345817565918,0,931,381,1312,1,53.03189266700065,0
execrepobench-0210-72b7925cbd,csv-diff,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7624407839775086,1.0,0.8,0.21220391988754272,0,1281,1477,2758,1,7.384370208004839,0
execrepobench-0306-754d4ec1a4,dpath-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.6787411713600159,1.0,0.6,0.19370585680007935,0,1032,289,1321,1,2.156222666002577,0
execrepobench-0053-77dcabc805,PyPattyrn,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.5918037986755371,1.0,0.4,0.15901899337768555,0,652,211,863,1,1.4030667500046548,0
execrepobench-0813-7adc4c621e,python-fastjsonschema,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.8001326274871827,1.0,0.8,0.4006631374359131,0,986,359,1345,1,4.001698499996564,0
execrepobench-0288-7def4b1d9b,dict2css,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.4893440055847168,1.0,0.19999999999999996,0.046720027923583984,0,2953,924,3877,1,3.6106297920050565,0
execrepobench-1103-7f3572e3af,w2n,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7637513113021851,1.0,0.8,0.2187565565109253,0,1694,296,1990,1,4.505646292003803,0
execrepobench-1031-7ffccc0576,transitions,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.757941336631775,1.0,0.8,0.1897066831588745,0,2375,745,3120,1,4.0935639170056675,0
execrepobench-0872-821ee463bc,python-pinyin,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.4,1.0,0.0,0.0,0,774,115,889,1,18.606971166998846,0
execrepobench-0125-85c7617c7f,boltons,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.6565444731712341,1.0,0.6,0.08272236585617065,0,2666,452,3118,1,10.891719166000257,0
execrepobench-0104-88c1f25cae,algorithms,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.6669118547439575,1.0,0.6,0.1345592737197876,0,242,386,628,1,26.327910708991112,0
execrepobench-0766-89b0b9313b,msgpack-python,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7656494212150574,1.0,0.8,0.22824710607528687,0,1916,1513,3429,1,6.055305834001047,0
execrepobench-1000-8d3477c440,textdistance,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.6326010441780091,1.0,0.4,0.36300522089004517,0,1358,412,1770,1,20.62820470800216,0
execrepobench-0998-8efdda2463,textdistance,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7901249837875367,1.0,0.8,0.3506249189376831,0,1197,746,1943,1,3.840966041010688,0
execrepobench-0830-8f6153a551,python-fastjsonschema,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.40000003576278687,1.0,0.0,1.7881393432617188e-07,0,1678,455,2133,1,122.07231524999952,0
execrepobench-0806-90f6dcc049,pysrt,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.49427329778671264,1.0,0.19999999999999996,0.07136648893356323,0,1136,115,1251,1,1.1181622499861987,0
execrepobench-0481-914a69e7c7,gruut,gpt-4o-mini,Direct Generation,1,0.19999999999999996,0.6,1.0,True,True,True,True,False,False,False,0,0.7738578271865846,1.0,0.8,0.26928913593292236,0,1195,598,1793,1,12.023505709003075,0
execrepobench-0663-93a7ebf6b8,maya,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.6830185556411743,1.0,0.6,0.21509277820587158,0,1010,321,1331,1,13.952736124992953,0
execrepobench-0093-94d9b17222,algorithms,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.66715003490448,1.0,0.6,0.1357501745223999,0,774,372,1146,1,2.0520686660020147,0
execrepobench-0701-97fc2afab2,moment,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.6807391786575318,1.0,0.6,0.2036958932876587,0,1050,257,1307,1,6.0558169999858364,0
execrepobench-0789-99bd2701eb,pysrt,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7481107902526857,1.0,0.8,0.14055395126342773,0,861,468,1329,1,2.332654124998953,0
execrepobench-0897-9e4ba069fb,python-sortedcontainers,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.783770091533661,1.0,0.8,0.31885045766830444,0,2194,512,2706,1,3.5107545829960145,0
execrepobench-0146-a1bcf6fcb5,cacheout,gpt-4o-mini,Direct Generation,5,1.0,1.0,1.0,True,True,True,True,False,False,False,0,0.5789141273498536,1.0,0.4,0.09457063674926758,0,1178,573,1751,1,6.37784441599797,0
execrepobench-0775-a25e4c860c,objprint,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7805265855789185,1.0,0.8,0.3026329278945923,0,1585,450,2035,1,3.364383332998841,0
execrepobench-0199-a48fe7497e,css-html-js-minify,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.4,1.0,0.0,0.0,0,2176,195,2371,1,1.6035367079894058,0
execrepobench-0780-a59f6ce042,objprint,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.5947633957862855,1.0,0.4,0.173816978931427,0,544,165,709,1,7.06594149999728,0
