model,repository,tasks,control_correctness,opencoder_correctness,absolute_difference,descriptive_only
gpt-4o-mini,tryme,4,0.5,0.5,0.0,True
gpt-4o-mini,w2n,4,0.25,0.25,0.0,True
gpt-4o-mini,workdays,2,0.0,0.0,0.0,True
gpt-4o-mini,xmltodict,4,0.0,0.0,0.0,True
gemini-2.5-flash,Chronyk,2,0.5,0.5,0.0,True
gemini-2.5-flash,PTable,4,0.0,0.0,0.0,True
gemini-2.5-flash,PyPattyrn,4,0.75,0.75,0.0,True
gemini-2.5-flash,algorithms,4,0.75,0.75,0.0,True
gemini-2.5-flash,boltons,4,0.25,0.25,0.0,True
gemini-2.5-flash,cacheout,2,0.5,0.5,0.0,True
gemini-2.5-flash,compressed_rtf,4,0.0,0.0,0.0,True
gemini-2.5-flash,css-html-js-minify,2,1.0,1.0,0.0,True
gemini-2.5-flash,csv-diff,2,0.0,0.0,0.0,True
gemini-2.5-flash,csvkit,4,0.25,0.25,0.0,True
gemini-2.5-flash,datetime_truncate,1,1.0,1.0,0.0,True
gemini-2.5-flash,dict2css,2,1.0,1.0,0.0,True
gemini-2.5-flash,dpath-python,4,0.25,0.0,-0.25,True
gemini-2.5-flash,eip712,3,1.0,1.0,0.0,True
gemini-2.5-flash,eml_parser,3,0.6666666666666666,0.0,-0.6666666666666666,True
gemini-2.5-flash,fastkml,2,1.0,1.0,0.0,True
gemini-2.5-flash,gruut,3,0.3333333333333333,0.3333333333333333,0.0,True
gemini-2.5-flash,imageio,4,0.25,0.0,-0.25,True
gemini-2.5-flash,json_repair,4,0.0,0.0,0.0,True
gemini-2.5-flash,maya,4,0.75,1.0,0.25,True
gemini-2.5-flash,moment,4,0.0,0.25,0.25,True
gemini-2.5-flash,more-itertools,4,0.0,0.25,0.25,True
gemini-2.5-flash,msgpack-python,4,0.0,0.0,0.0,True
gemini-2.5-flash,objprint,4,0.75,0.75,0.0,True
gemini-2.5-flash,pysrt,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,True
gemini-2.5-flash,python-fastjsonschema,4,0.25,0.25,0.0,True
gemini-2.5-flash,python-patterns,1,0.0,0.0,0.0,True
gemini-2.5-flash,python-pinyin,3,0.6666666666666666,1.0,0.33333333333333337,True
gemini-2.5-flash,python-sortedcontainers,3,0.3333333333333333,0.3333333333333333,0.0,True
gemini-2.5-flash,shortuuid,2,1.0,1.0,0.0,True
gemini-2.5-flash,sqlparse,4,0.0,0.0,0.0,True
gemini-2.5-flash,textdistance,4,0.0,0.25,0.25,True
gemini-2.5-flash,transitions,4,0.0,0.0,0.0,True
gemini-2.5-flash,tryme,4,0.5,0.75,0.25,True
gemini-2.5-flash,w2n,4,0.0,0.25,0.25,True
gemini-2.5-flash,workdays,2,1.0,0.0,-1.0,True
gemini-2.5-flash,xmltodict,4,0.0,0.0,0.0,True
claude-sonnet-5,Chronyk,2,0.0,0.0,0.0,True
claude-sonnet-5,PTable,4,0.5,0.5,0.0,True
claude-sonnet-5,PyPattyrn,4,1.0,1.0,0.0,True
claude-sonnet-5,algorithms,4,1.0,1.0,0.0,True
claude-sonnet-5,boltons,4,1.0,1.0,0.0,True
claude-sonnet-5,cacheout,2,1.0,1.0,0.0,True
claude-sonnet-5,compressed_rtf,4,1.0,0.75,-0.25,True
claude-sonnet-5,css-html-js-minify,2,1.0,1.0,0.0,True
claude-sonnet-5,csv-diff,2,0.0,0.5,0.5,True
claude-sonnet-5,csvkit,4,0.25,0.25,0.0,True
claude-sonnet-5,datetime_truncate,1,1.0,1.0,0.0,True
claude-sonnet-5,dict2css,2,1.0,1.0,0.0,True
claude-sonnet-5,dpath-python,4,0.5,1.0,0.5,True
claude-sonnet-5,eip712,3,1.0,1.0,0.0,True
claude-sonnet-5,eml_parser,3,0.6666666666666666,0.6666666666666666,0.0,True
claude-sonnet-5,fastkml,2,1.0,1.0,0.0,True
claude-sonnet-5,gruut,3,1.0,1.0,0.0,True
claude-sonnet-5,imageio,4,0.75,0.75,0.0,True
claude-sonnet-5,json_repair,4,0.25,0.25,0.0,True
claude-sonnet-5,maya,4,1.0,1.0,0.0,True
claude-sonnet-5,moment,4,1.0,1.0,0.0,True
claude-sonnet-5,more-itertools,4,1.0,1.0,0.0,True
claude-sonnet-5,msgpack-python,4,0.25,0.5,0.25,True
claude-sonnet-5,objprint,4,1.0,1.0,0.0,True
claude-sonnet-5,pysrt,3,0.6666666666666666,0.6666666666666666,0.0,True
claude-sonnet-5,python-fastjsonschema,4,1.0,1.0,0.0,True
claude-sonnet-5,python-patterns,1,1.0,1.0,0.0,True
claude-sonnet-5,python-pinyin,3,1.0,1.0,0.0,True
claude-sonnet-5,python-sortedcontainers,3,1.0,1.0,0.0,True
claude-sonnet-5,shortuuid,2,1.0,1.0,0.0,True
claude-sonnet-5,sqlparse,4,0.75,0.5,-0.25,True
claude-sonnet-5,textdistance,4,0.75,0.25,-0.5,True
claude-sonnet-5,transitions,4,0.0,0.0,0.0,True
claude-sonnet-5,tryme,4,0.75,1.0,0.25,True
claude-sonnet-5,w2n,4,0.75,0.75,0.0,True
claude-sonnet-5,workdays,2,1.0,1.0,0.0,True
claude-sonnet-5,xmltodict,4,0.0,0.0,0.0,True
qwen3-coder-plus,Chronyk,2,0.5,0.5,0.0,True
qwen3-coder-plus,PTable,4,0.25,0.25,0.0,True
qwen3-coder-plus,PyPattyrn,4,1.0,1.0,0.0,True
qwen3-coder-plus,algorithms,4,1.0,1.0,0.0,True
qwen3-coder-plus,boltons,4,0.75,1.0,0.25,True
qwen3-coder-plus,cacheout,2,1.0,1.0,0.0,True
qwen3-coder-plus,compressed_rtf,4,0.0,0.0,0.0,True
qwen3-coder-plus,css-html-js-minify,2,1.0,1.0,0.0,True
qwen3-coder-plus,csv-diff,2,0.0,0.0,0.0,True
qwen3-coder-plus,csvkit,4,0.25,0.0,-0.25,True
qwen3-coder-plus,datetime_truncate,1,1.0,1.0,0.0,True
qwen3-coder-plus,dict2css,2,1.0,1.0,0.0,True
qwen3-coder-plus,dpath-python,4,0.5,0.5,0.0,True
qwen3-coder-plus,eip712,3,1.0,1.0,0.0,True
qwen3-coder-plus,eml_parser,3,1.0,1.0,0.0,True
qwen3-coder-plus,fastkml,2,1.0,1.0,0.0,True
qwen3-coder-plus,gruut,3,1.0,1.0,0.0,True
qwen3-coder-plus,imageio,4,0.75,0.75,0.0,True
qwen3-coder-plus,json_repair,4,0.0,0.0,0.0,True
qwen3-coder-plus,maya,4,1.0,1.0,0.0,True
qwen3-coder-plus,moment,4,0.75,0.75,0.0,True
qwen3-coder-plus,more-itertools,4,0.25,0.25,0.0,True
qwen3-coder-plus,msgpack-python,4,0.0,0.0,0.0,True
qwen3-coder-plus,objprint,4,1.0,1.0,0.0,True
qwen3-coder-plus,pysrt,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,True
qwen3-coder-plus,python-fastjsonschema,4,0.5,0.5,0.0,True
qwen3-coder-plus,python-patterns,1,1.0,1.0,0.0,True
qwen3-coder-plus,python-pinyin,3,1.0,1.0,0.0,True
qwen3-coder-plus,python-sortedcontainers,3,1.0,1.0,0.0,True
qwen3-coder-plus,shortuuid,2,1.0,1.0,0.0,True
qwen3-coder-plus,sqlparse,4,0.25,0.25,0.0,True
qwen3-coder-plus,textdistance,4,0.25,0.25,0.0,True
qwen3-coder-plus,transitions,4,0.0,0.0,0.0,True
qwen3-coder-plus,tryme,4,1.0,1.0,0.0,True
qwen3-coder-plus,w2n,4,0.75,0.75,0.0,True
qwen3-coder-plus,workdays,2,1.0,1.0,0.0,True
qwen3-coder-plus,xmltodict,4,0.0,0.0,0.0,True
